Reservoir_name,Basin,subbasin,Agency_name,Lat,Long,Date,Year,Month,Full_reservoir_level,Live_capacity_FRL,Storage,Level
Tehri Reservoir,Ganga Basin,,CWC,30.43921006,78.45546181,2018-01-02,2018,1,830,2.615,1.779,808.55
Tehri Reservoir,Ganga Basin,,CWC,30.43921006,78.45546181,2018-01-04,2018,1,830,2.615,1.748,807.65
Tehri Reservoir,Ganga Basin,,CWC,30.43921006,78.45546181,2018-01-06,2018,1,830,2.615,1.716,806.75
Tehri Reservoir,Ganga Basin,,CWC,30.43921006,78.45546181,2018-01-08,2018,1,830,2.615,1.682,805.8
Tehri Reservoir,Ganga Basin,,CWC,30.43921006,78.45546181,2018-01-10,2018,1,830,2.615,1.647,804.8
Tehri Reservoir,Ganga Basin,,CWC,30.43921006,78.45546181,2018-01-13,2018,1,830,2.615,1.597,803.3
Tehri Reservoir,Ganga Basin,,CWC,30.43921006,78.45546181,2018-01-14,2018,1,830,2.615,1.58,802.8
Tehri Reservoir,Ganga Basin,,CWC,30.43921006,78.45546181,2018-01-17,2018,1,830,2.615,1.533,801.4
Tehri Reservoir,Ganga Basin,,CWC,30.43921006,78.45546181,2018-01-21,2018,1,830,2.615,1.478,799.65
Tehri Reservoir,Ganga Basin,,CWC,30.43921006,78.45546181,2018-01-24,2018,1,830,2.615,1.439,798.45
Tehri Reservoir,Ganga Basin,,CWC,30.43921006,78.45546181,2018-01-25,2018,1,830,2.615,1.426,798.05
Tehri Reservoir,Ganga Basin,,CWC,30.43921006,78.45546181,2018-01-27,2018,1,830,2.615,1.397,797.2
Tehri Reservoir,Ganga Basin,,CWC,30.43921006,78.45546181,2018-01-29,2018,1,830,2.615,1.372,796.35
Tehri Reservoir,Ganga Basin,,CWC,30.43921006,78.45546181,2018-01-31,2018,1,830,2.615,1.347,795.55
Tehri Reservoir,Ganga Basin,,CWC,30.43921006,78.45546181,2018-01-12,2018,1,830,2.615,1.614,803.8
Tehri Reservoir,Ganga Basin,,CWC,30.43921006,78.45546181,2018-01-01,2018,1,830,2.615,1.793,809.0
Tehri Reservoir,Ganga Basin,,CWC,30.43921006,78.45546181,2018-01-05,2018,1,830,2.615,1.73,807.2
Tehri Reservoir,Ganga Basin,,CWC,30.43921006,78.45546181,2018-01-07,2018,1,830,2.615,1.702,806.35
Tehri Reservoir,Ganga Basin,,CWC,30.43921006,78.45546181,2018-01-11,2018,1,830,2.615,1.634,804.35
Tehri Reservoir,Ganga Basin,,CWC,30.43921006,78.45546181,2018-01-16,2018,1,830,2.615,1.55,801.9
Tehri Reservoir,Ganga Basin,,CWC,30.43921006,78.45546181,2018-01-19,2018,1,830,2.615,1.5,800.4
Tehri Reservoir,Ganga Basin,,CWC,30.43921006,78.45546181,2018-01-22,2018,1,830,2.615,1.465,799.25
Tehri Reservoir,Ganga Basin,,CWC,30.43921006,78.45546181,2018-01-26,2018,1,830,2.615,1.413,797.65
Tehri Reservoir,Ganga Basin,,CWC,30.43921006,78.45546181,2018-01-30,2018,1,830,2.615,1.359,795.95
Tehri Reservoir,Ganga Basin,,CWC,30.43921006,78.45546181,2018-01-03,2018,1,830,2.615,1.762,808.1
Tehri Reservoir,Ganga Basin,,CWC,30.43921006,78.45546181,2018-01-15,2018,1,830,2.615,1.567,802.35
Tehri Reservoir,Ganga Basin,,CWC,30.43921006,78.45546181,2018-01-20,2018,1,830,2.615,1.487,800.0
Tehri Reservoir,Ganga Basin,,CWC,30.43921006,78.45546181,2018-01-09,2018,1,830,2.615,1.665,805.3
Tehri Reservoir,Ganga Basin,,CWC,30.43921006,78.45546181,2018-01-18,2018,1,830,2.615,1.517,800.95
Tehri Reservoir,Ganga Basin,,CWC,30.43921006,78.45546181,2018-01-23,2018,1,830,2.615,1.452,798.85
Tehri Reservoir,Ganga Basin,,CWC,30.43921006,78.45546181,2018-01-28,2018,1,830,2.615,1.384,796.8
Tehri Reservoir,Ganga Basin,,CWC,30.43921006,78.45546181,2018-02-04,2018,2,830,2.615,1.297,793.95
Tehri Reservoir,Ganga Basin,,CWC,30.43921006,78.45546181,2018-02-05,2018,2,830,2.615,1.281,793.5
Tehri Reservoir,Ganga Basin,,CWC,30.43921006,78.45546181,2018-02-09,2018,2,830,2.615,1.227,791.7
Tehri Reservoir,Ganga Basin,,CWC,30.43921006,78.45546181,2018-02-12,2018,2,830,2.615,1.184,790.3
Tehri Reservoir,Ganga Basin,,CWC,30.43921006,78.45546181,2018-02-21,2018,2,830,2.615,1.065,786.2
Tehri Reservoir,Ganga Basin,,CWC,30.43921006,78.45546181,2018-02-22,2018,2,830,2.615,1.053,785.75
Tehri Reservoir,Ganga Basin,,CWC,30.43921006,78.45546181,2018-02-01,2018,2,830,2.615,1.334,795.2
Tehri Reservoir,Ganga Basin,,CWC,30.43921006,78.45546181,2018-02-03,2018,2,830,2.615,1.309,794.35
Tehri Reservoir,Ganga Basin,,CWC,30.43921006,78.45546181,2018-02-11,2018,2,830,2.615,1.199,790.75
Tehri Reservoir,Ganga Basin,,CWC,30.43921006,78.45546181,2018-02-24,2018,2,830,2.615,1.027,784.85
Tehri Reservoir,Ganga Basin,,CWC,30.43921006,78.45546181,2018-02-26,2018,2,830,2.615,0.999,783.9
Tehri Reservoir,Ganga Basin,,CWC,30.43921006,78.45546181,2018-02-06,2018,2,830,2.615,1.269,793.05
Tehri Reservoir,Ganga Basin,,CWC,30.43921006,78.45546181,2018-02-14,2018,2,830,2.615,1.158,789.4
Tehri Reservoir,Ganga Basin,,CWC,30.43921006,78.45546181,2018-02-17,2018,2,830,2.615,1.117,788.0
Tehri Reservoir,Ganga Basin,,CWC,30.43921006,78.45546181,2018-02-20,2018,2,830,2.615,1.079,786.65
Tehri Reservoir,Ganga Basin,,CWC,30.43921006,78.45546181,2018-02-07,2018,2,830,2.615,1.257,792.65
Tehri Reservoir,Ganga Basin,,CWC,30.43921006,78.45546181,2018-02-10,2018,2,830,2.615,1.214,791.25
Tehri Reservoir,Ganga Basin,,CWC,30.43921006,78.45546181,2018-02-16,2018,2,830,2.615,1.131,788.5
Tehri Reservoir,Ganga Basin,,CWC,30.43921006,78.45546181,2018-02-19,2018,2,830,2.615,1.091,787.1
Tehri Reservoir,Ganga Basin,,CWC,30.43921006,78.45546181,2018-02-27,2018,2,830,2.615,,
Tehri Reservoir,Ganga Basin,,CWC,30.43921006,78.45546181,2018-02-02,2018,2,830,2.615,1.322,794.8
Tehri Reservoir,Ganga Basin,,CWC,30.43921006,78.45546181,2018-02-08,2018,2,830,2.615,1.244,792.15
Tehri Reservoir,Ganga Basin,,CWC,30.43921006,78.45546181,2018-02-13,2018,2,830,2.615,1.173,789.85
Tehri Reservoir,Ganga Basin,,CWC,30.43921006,78.45546181,2018-02-15,2018,2,830,2.615,,
Tehri Reservoir,Ganga Basin,,CWC,30.43921006,78.45546181,2018-02-18,2018,2,830,2.615,1.102,787.5
Tehri Reservoir,Ganga Basin,,CWC,30.43921006,78.45546181,2018-02-23,2018,2,830,2.615,1.042,785.35
Tehri Reservoir,Ganga Basin,,CWC,30.43921006,78.45546181,2018-02-25,2018,2,830,2.615,1.013,784.4
Tehri Reservoir,Ganga Basin,,CWC,30.43921006,78.45546181,2018-02-28,2018,2,830,2.615,,
Tehri Reservoir,Ganga Basin,,CWC,30.43921006,78.45546181,2018-03-06,2018,3,830,2.615,0.886,779.8
Tehri Reservoir,Ganga Basin,,CWC,30.43921006,78.45546181,2018-03-12,2018,3,830,2.615,0.804,776.7
Tehri Reservoir,Ganga Basin,,CWC,30.43921006,78.45546181,2018-03-20,2018,3,830,2.615,0.691,772.25
Tehri Reservoir,Ganga Basin,,CWC,30.43921006,78.45546181,2018-03-22,2018,3,830,2.615,0.663,771.15
Tehri Reservoir,Ganga Basin,,CWC,30.43921006,78.45546181,2018-03-25,2018,3,830,2.615,0.614,769.2
Tehri Reservoir,Ganga Basin,,CWC,30.43921006,78.45546181,2018-03-28,2018,3,830,2.615,0.575,767.65
Tehri Reservoir,Ganga Basin,,CWC,30.43921006,78.45546181,2018-03-05,2018,3,830,2.615,0.9,780.3
Tehri Reservoir,Ganga Basin,,CWC,30.43921006,78.45546181,2018-03-10,2018,3,830,2.615,0.833,777.75
Tehri Reservoir,Ganga Basin,,CWC,30.43921006,78.45546181,2018-03-14,2018,3,830,2.615,0.777,775.65
Tehri Reservoir,Ganga Basin,,CWC,30.43921006,78.45546181,2018-03-21,2018,3,830,2.615,0.676,771.65
Tehri Reservoir,Ganga Basin,,CWC,30.43921006,78.45546181,2018-03-26,2018,3,830,2.615,0.602,768.7
Tehri Reservoir,Ganga Basin,,CWC,30.43921006,78.45546181,2018-03-27,2018,3,830,2.615,0.589,768.2
Tehri Reservoir,Ganga Basin,,CWC,30.43921006,78.45546181,2018-03-31,2018,3,830,2.615,0.539,766.05
Tehri Reservoir,Ganga Basin,,CWC,30.43921006,78.45546181,2018-03-02,2018,3,830,2.615,0.943,781.9
Tehri Reservoir,Ganga Basin,,CWC,30.43921006,78.45546181,2018-03-03,2018,3,830,2.615,0.93,781.4
Tehri Reservoir,Ganga Basin,,CWC,30.43921006,78.45546181,2018-03-07,2018,3,830,2.615,0.886,779.8
Tehri Reservoir,Ganga Basin,,CWC,30.43921006,78.45546181,2018-03-08,2018,3,830,2.615,,
Tehri Reservoir,Ganga Basin,,CWC,30.43921006,78.45546181,2018-03-09,2018,3,830,2.615,0.843,778.15
Tehri Reservoir,Ganga Basin,,CWC,30.43921006,78.45546181,2018-03-13,2018,3,830,2.615,0.791,776.2
Tehri Reservoir,Ganga Basin,,CWC,30.43921006,78.45546181,2018-03-16,2018,3,830,2.615,0.749,774.6
Tehri Reservoir,Ganga Basin,,CWC,30.43921006,78.45546181,2018-03-18,2018,3,830,2.615,0.721,773.5
Tehri Reservoir,Ganga Basin,,CWC,30.43921006,78.45546181,2018-03-24,2018,3,830,2.615,0.631,769.85
Tehri Reservoir,Ganga Basin,,CWC,30.43921006,78.45546181,2018-03-29,2018,3,830,2.615,0.563,767.1
Tehri Reservoir,Ganga Basin,,CWC,30.43921006,78.45546181,2018-03-30,2018,3,830,2.615,0.549,766.55
Tehri Reservoir,Ganga Basin,,CWC,30.43921006,78.45546181,2018-03-01,2018,3,830,2.615,,
Tehri Reservoir,Ganga Basin,,CWC,30.43921006,78.45546181,2018-03-04,2018,3,830,2.615,0.916,780.85
Tehri Reservoir,Ganga Basin,,CWC,30.43921006,78.45546181,2018-03-11,2018,3,830,2.615,0.82,777.25
Tehri Reservoir,Ganga Basin,,CWC,30.43921006,78.45546181,2018-03-19,2018,3,830,2.615,0.706,772.9
Tehri Reservoir,Ganga Basin,,CWC,30.43921006,78.45546181,2018-03-23,2018,3,830,2.615,0.643,770.4
Tehri Reservoir,Ganga Basin,,CWC,30.43921006,78.45546181,2018-03-15,2018,3,830,2.615,0.762,775.1
Tehri Reservoir,Ganga Basin,,CWC,30.43921006,78.45546181,2018-03-17,2018,3,830,2.615,0.736,774.1
Tehri Reservoir,Ganga Basin,,CWC,30.43921006,78.45546181,2018-04-07,2018,4,830,2.615,0.435,761.6
Tehri Reservoir,Ganga Basin,,CWC,30.43921006,78.45546181,2018-04-09,2018,4,830,2.615,0.405,760.3
Tehri Reservoir,Ganga Basin,,CWC,30.43921006,78.45546181,2018-04-10,2018,4,830,2.615,0.396,759.9
Tehri Reservoir,Ganga Basin,,CWC,30.43921006,78.45546181,2018-04-14,2018,4,830,2.615,0.354,758.0
Tehri Reservoir,Ganga Basin,,CWC,30.43921006,78.45546181,2018-04-15,2018,4,830,2.615,0.343,757.5
Tehri Reservoir,Ganga Basin,,CWC,30.43921006,78.45546181,2018-04-16,2018,4,830,2.615,0.334,757.05
Tehri Reservoir,Ganga Basin,,CWC,30.43921006,78.45546181,2018-04-19,2018,4,830,2.615,0.299,755.5
Tehri Reservoir,Ganga Basin,,CWC,30.43921006,78.45546181,2018-04-22,2018,4,830,2.615,0.27,754.05
Tehri Reservoir,Ganga Basin,,CWC,30.43921006,78.45546181,2018-04-30,2018,4,830,2.615,0.211,751.3
Tehri Reservoir,Ganga Basin,,CWC,30.43921006,78.45546181,2018-04-23,2018,4,830,2.615,0.253,753.25
Tehri Reservoir,Ganga Basin,,CWC,30.43921006,78.45546181,2018-04-24,2018,4,830,2.615,0.245,752.9
Tehri Reservoir,Ganga Basin,,CWC,30.43921006,78.45546181,2018-04-29,2018,4,830,2.615,0.216,751.45
Tehri Reservoir,Ganga Basin,,CWC,30.43921006,78.45546181,2018-04-11,2018,4,830,2.615,0.385,759.35
Tehri Reservoir,Ganga Basin,,CWC,30.43921006,78.45546181,2018-04-17,2018,4,830,2.615,0.321,756.5
Tehri Reservoir,Ganga Basin,,CWC,30.43921006,78.45546181,2018-04-18,2018,4,830,2.615,0.311,755.95
Tehri Reservoir,Ganga Basin,,CWC,30.43921006,78.45546181,2018-04-02,2018,4,830,2.615,0.51,764.9
Tehri Reservoir,Ganga Basin,,CWC,30.43921006,78.45546181,2018-04-21,2018,4,830,2.615,0.278,754.5
Tehri Reservoir,Ganga Basin,,CWC,30.43921006,78.45546181,2018-04-26,2018,4,830,2.615,0.251,752.15
Tehri Reservoir,Ganga Basin,,CWC,30.43921006,78.45546181,2018-04-01,2018,4,830,2.615,0.525,765.5
Tehri Reservoir,Ganga Basin,,CWC,30.43921006,78.45546181,2018-04-03,2018,4,830,2.615,,
Tehri Reservoir,Ganga Basin,,CWC,30.43921006,78.45546181,2018-04-04,2018,4,830,2.615,,
Tehri Reservoir,Ganga Basin,,CWC,30.43921006,78.45546181,2018-04-05,2018,4,830,2.615,,
Tehri Reservoir,Ganga Basin,,CWC,30.43921006,78.45546181,2018-04-20,2018,4,830,2.615,0.289,755.0
Tehri Reservoir,Ganga Basin,,CWC,30.43921006,78.45546181,2018-04-25,2018,4,830,2.615,0.236,752.45
Tehri Reservoir,Ganga Basin,,CWC,30.43921006,78.45546181,2018-04-27,2018,4,830,2.615,0.224,751.9
Tehri Reservoir,Ganga Basin,,CWC,30.43921006,78.45546181,2018-04-28,2018,4,830,2.615,0.22,751.65
Tehri Reservoir,Ganga Basin,,CWC,30.43921006,78.45546181,2018-04-06,2018,4,830,2.615,0.45,762.25
Tehri Reservoir,Ganga Basin,,CWC,30.43921006,78.45546181,2018-04-08,2018,4,830,2.615,0.421,761.0
Tehri Reservoir,Ganga Basin,,CWC,30.43921006,78.45546181,2018-04-12,2018,4,830,2.615,0.374,758.85
Tehri Reservoir,Ganga Basin,,CWC,30.43921006,78.45546181,2018-04-13,2018,4,830,2.615,0.365,758.45
Tehri Reservoir,Ganga Basin,,CWC,30.43921006,78.45546181,2018-05-03,2018,5,830,2.615,0.205,750.9
Tehri Reservoir,Ganga Basin,,CWC,30.43921006,78.45546181,2018-05-11,2018,5,830,2.615,0.135,747.45
Tehri Reservoir,Ganga Basin,,CWC,30.43921006,78.45546181,2018-05-14,2018,5,830,2.615,0.18,746.8
Tehri Reservoir,Ganga Basin,,CWC,30.43921006,78.45546181,2018-05-24,2018,5,830,2.615,0.076,744.45
Tehri Reservoir,Ganga Basin,,CWC,30.43921006,78.45546181,2018-05-06,2018,5,830,2.615,0.155,749.55
Tehri Reservoir,Ganga Basin,,CWC,30.43921006,78.45546181,2018-05-08,2018,5,830,2.615,0.161,748.75
Tehri Reservoir,Ganga Basin,,CWC,30.43921006,78.45546181,2018-05-15,2018,5,830,2.615,0.111,746.25
Tehri Reservoir,Ganga Basin,,CWC,30.43921006,78.45546181,2018-05-27,2018,5,830,2.615,0.064,743.85
Tehri Reservoir,Ganga Basin,,CWC,30.43921006,78.45546181,2018-05-31,2018,5,830,2.615,0.049,743.05
Tehri Reservoir,Ganga Basin,,CWC,30.43921006,78.45546181,2018-05-01,2018,5,830,2.615,0.209,751.15
Tehri Reservoir,Ganga Basin,,CWC,30.43921006,78.45546181,2018-05-04,2018,5,830,2.615,0.199,750.65
Tehri Reservoir,Ganga Basin,,CWC,30.43921006,78.45546181,2018-05-09,2018,5,830,2.615,0.155,748.5
Tehri Reservoir,Ganga Basin,,CWC,30.43921006,78.45546181,2018-05-13,2018,5,830,2.615,0.117,746.6
Tehri Reservoir,Ganga Basin,,CWC,30.43921006,78.45546181,2018-05-17,2018,5,830,2.615,0.099,745.65
Tehri Reservoir,Ganga Basin,,CWC,30.43921006,78.45546181,2018-05-20,2018,5,830,2.615,0.089,745.15
Tehri Reservoir,Ganga Basin,,CWC,30.43921006,78.45546181,2018-05-22,2018,5,830,2.615,0.078,744.6
Tehri Reservoir,Ganga Basin,,CWC,30.43921006,78.45546181,2018-05-23,2018,5,830,2.615,0.076,744.55
Tehri Reservoir,Ganga Basin,,CWC,30.43921006,78.45546181,2018-05-26,2018,5,830,2.615,0.068,744.05
Tehri Reservoir,Ganga Basin,,CWC,30.43921006,78.45546181,2018-05-29,2018,5,830,2.615,0.055,743.4
Tehri Reservoir,Ganga Basin,,CWC,30.43921006,78.45546181,2018-05-30,2018,5,830,2.615,0.053,743.25
Tehri Reservoir,Ganga Basin,,CWC,30.43921006,78.45546181,2018-05-02,2018,5,830,2.615,0.205,750.95
Tehri Reservoir,Ganga Basin,,CWC,30.43921006,78.45546181,2018-05-07,2018,5,830,2.615,0.165,749.0
