Reservoir_name,Basin,subbasin,Agency_name,Lat,Long,Date,Year,Month,Full_reservoir_level,Live_capacity_FRL,Storage,Level
Tehri Reservoir,Ganga Basin,NA,CWC,30.43921006,78.45546181,2018-05-03,2018,05,830,2.615,0.205,750.9
Tehri Reservoir,Ganga Basin,NA,CWC,30.43921006,78.45546181,2018-05-11,2018,05,830,2.615,0.135,747.45
Tehri Reservoir,Ganga Basin,NA,CWC,30.43921006,78.45546181,2018-05-14,2018,05,830,2.615,0.18,746.8
Tehri Reservoir,Ganga Basin,NA,CWC,30.43921006,78.45546181,2018-05-24,2018,05,830,2.615,0.076,744.45
Tehri Reservoir,Ganga Basin,NA,CWC,30.43921006,78.45546181,2018-05-06,2018,05,830,2.615,0.155,749.55
Tehri Reservoir,Ganga Basin,NA,CWC,30.43921006,78.45546181,2018-05-08,2018,05,830,2.615,0.161,748.75
Tehri Reservoir,Ganga Basin,NA,CWC,30.43921006,78.45546181,2018-05-15,2018,05,830,2.615,0.111,746.25
Tehri Reservoir,Ganga Basin,NA,CWC,30.43921006,78.45546181,2018-05-27,2018,05,830,2.615,0.064,743.85
Tehri Reservoir,Ganga Basin,NA,CWC,30.43921006,78.45546181,2018-05-31,2018,05,830,2.615,0.049,743.05
Tehri Reservoir,Ganga Basin,NA,CWC,30.43921006,78.45546181,2018-05-01,2018,05,830,2.615,0.209,751.15
Tehri Reservoir,Ganga Basin,NA,CWC,30.43921006,78.45546181,2018-05-04,2018,05,830,2.615,0.199,750.65
Tehri Reservoir,Ganga Basin,NA,CWC,30.43921006,78.45546181,2018-05-09,2018,05,830,2.615,0.155,748.5
Tehri Reservoir,Ganga Basin,NA,CWC,30.43921006,78.45546181,2018-05-13,2018,05,830,2.615,0.117,746.6
Tehri Reservoir,Ganga Basin,NA,CWC,30.43921006,78.45546181,2018-05-17,2018,05,830,2.615,0.099,745.65
Tehri Reservoir,Ganga Basin,NA,CWC,30.43921006,78.45546181,2018-05-20,2018,05,830,2.615,0.089,745.15
Tehri Reservoir,Ganga Basin,NA,CWC,30.43921006,78.45546181,2018-05-22,2018,05,830,2.615,0.078,744.6
Tehri Reservoir,Ganga Basin,NA,CWC,30.43921006,78.45546181,2018-05-23,2018,05,830,2.615,0.076,744.55
Tehri Reservoir,Ganga Basin,NA,CWC,30.43921006,78.45546181,2018-05-26,2018,05,830,2.615,0.068,744.05
Tehri Reservoir,Ganga Basin,NA,CWC,30.43921006,78.45546181,2018-05-29,2018,05,830,2.615,0.055,743.4
Tehri Reservoir,Ganga Basin,NA,CWC,30.43921006,78.45546181,2018-05-30,2018,05,830,2.615,0.053,743.25
Tehri Reservoir,Ganga Basin,NA,CWC,30.43921006,78.45546181,2018-05-02,2018,05,830,2.615,0.205,750.95
Tehri Reservoir,Ganga Basin,NA,CWC,30.43921006,78.45546181,2018-05-07,2018,05,830,2.615,0.165,749
Tehri Reservoir,Ganga Basin,NA,CWC,30.43921006,78.45546181,2018-05-10,2018,05,830,2.615,0.144,747.95
Tehri Reservoir,Ganga Basin,NA,CWC,30.43921006,78.45546181,2018-05-12,2018,05,830,2.615,0.127,747.05
Tehri Reservoir,Ganga Basin,NA,CWC,30.43921006,78.45546181,2018-05-16,2018,05,830,2.615,0.103,745.9
Tehri Reservoir,Ganga Basin,NA,CWC,30.43921006,78.45546181,2018-05-18,2018,05,830,2.615,0.095,745.55
Tehri Reservoir,Ganga Basin,NA,CWC,30.43921006,78.45546181,2018-05-19,2018,05,830,2.615,0.095,745.45
Tehri Reservoir,Ganga Basin,NA,CWC,30.43921006,78.45546181,2018-05-21,2018,05,830,2.615,0.084,744.9
Tehri Reservoir,Ganga Basin,NA,CWC,30.43921006,78.45546181,2018-05-28,2018,05,830,2.615,0.061,743.65
Tehri Reservoir,Ganga Basin,NA,CWC,30.43921006,78.45546181,2018-05-05,2018,05,830,2.615,0.187,750.1
Tehri Reservoir,Ganga Basin,NA,CWC,30.43921006,78.45546181,2018-05-25,2018,05,830,2.615,0.076,744.45
