State,District,Date,Year,Month,Avg_rainfall,Agency_name
Uttarakhand,Almora,2025-05-09,2025,05,1.4590445702,NRSC VIC MODEL
Uttarakhand,Almora,2025-05-15,2025,05,4.99107e-05,NRSC VIC MODEL
Uttarakhand,Almora,2025-05-18,2025,05,2.8577531973,NRSC VIC MODEL
Uttarakhand,Almora,2025-05-21,2025,05,0.136744669,NRSC VIC MODEL
Uttarakhand,Almora,2025-05-29,2025,05,2.0246174622,NRSC VIC MODEL
Uttarakhand,Almora,2025-06-08,2025,06,7.20923e-05,NRSC VIC MODEL
Uttarakhand,Almora,2025-06-13,2025,06,1.3742698914,NRSC VIC MODEL
Uttarakhand,Almora,2025-06-17,2025,06,0.4001636718,NRSC VIC MODEL
Uttarakhand,Almora,2025-06-18,2025,06,8.2257117493,NRSC VIC MODEL
Uttarakhand,Almora,2025-06-28,2025,06,12.7807128324,NRSC VIC MODEL
Uttarakhand,Almora,2025-06-30,2025,06,38.9412139021,NRSC VIC MODEL
Uttarakhand,Bageshwar,2025-01-05,2025,01,0,NRSC VIC MODEL
Uttarakhand,Bageshwar,2025-01-08,2025,01,0,NRSC VIC MODEL
Uttarakhand,Bageshwar,2025-01-09,2025,01,0,NRSC VIC MODEL
Uttarakhand,Bageshwar,2025-01-11,2025,01,0.6832749874,NRSC VIC MODEL
Uttarakhand,Bageshwar,2025-01-13,2025,01,4.4249506695,NRSC VIC MODEL
Uttarakhand,Bageshwar,2025-01-16,2025,01,2.1295796678,NRSC VIC MODEL
Uttarakhand,Bageshwar,2025-01-21,2025,01,0,NRSC VIC MODEL
Uttarakhand,Bageshwar,2025-01-26,2025,01,0,NRSC VIC MODEL
Uttarakhand,Bageshwar,2025-02-02,2025,02,0,NRSC VIC MODEL
Uttarakhand,Bageshwar,2025-02-05,2025,02,0.0357225382,NRSC VIC MODEL
Uttarakhand,Bageshwar,2025-02-18,2025,02,0.0214212836,NRSC VIC MODEL
Uttarakhand,Bageshwar,2025-02-19,2025,02,0.8975647689,NRSC VIC MODEL
Uttarakhand,Bageshwar,2025-02-23,2025,02,0.0824958584,NRSC VIC MODEL
Uttarakhand,Bageshwar,2025-03-10,2025,03,0,NRSC VIC MODEL
Uttarakhand,Bageshwar,2025-03-13,2025,03,3.9737471245,NRSC VIC MODEL
Uttarakhand,Bageshwar,2025-03-18,2025,03,1.4931149123,NRSC VIC MODEL
Uttarakhand,Bageshwar,2025-03-21,2025,03,0,NRSC VIC MODEL
Uttarakhand,Bageshwar,2025-03-19,2025,03,0.2428502182,NRSC VIC MODEL
Uttarakhand,Bageshwar,2025-03-30,2025,03,2.257e-07,NRSC VIC MODEL
Uttarakhand,Bageshwar,2025-04-08,2025,04,0.4088084237,NRSC VIC MODEL
Uttarakhand,Bageshwar,2025-04-13,2025,04,1.093794886,NRSC VIC MODEL
Uttarakhand,Bageshwar,2025-04-17,2025,04,0.4417416608,NRSC VIC MODEL
Uttarakhand,Bageshwar,2025-04-18,2025,04,0.4162476945,NRSC VIC MODEL
Uttarakhand,Bageshwar,2025-04-23,2025,04,0.026088649,NRSC VIC MODEL
Uttarakhand,Bageshwar,2025-04-28,2025,04,0,NRSC VIC MODEL
Uttarakhand,Bageshwar,2025-04-29,2025,04,0.0090972247,NRSC VIC MODEL
Uttarakhand,Bageshwar,2025-05-02,2025,05,4.7230082943,NRSC VIC MODEL
Uttarakhand,Bageshwar,2025-05-20,2025,05,2.4357989088,NRSC VIC MODEL
Uttarakhand,Bageshwar,2025-06-02,2025,06,0.1044171566,NRSC VIC MODEL
Uttarakhand,Bageshwar,2025-06-07,2025,06,0.5842220071,NRSC VIC MODEL
Uttarakhand,Bageshwar,2025-06-08,2025,06,0.7094981214,NRSC VIC MODEL
Uttarakhand,Bageshwar,2025-06-18,2025,06,4.2172945637,NRSC VIC MODEL
