State,District,Date,Year,Month,Avg_rainfall,Agency_name
Uttarakhand,Champawat,2018-08-02,2018,8,43.06006075,NRSC VIC MODEL
Uttarakhand,Champawat,2018-08-07,2018,8,9.457583761,NRSC VIC MODEL
Uttarakhand,Champawat,2018-08-14,2018,8,5.719812197,NRSC VIC MODEL
Uttarakhand,Champawat,2018-09-12,2018,9,1.583848215,NRSC VIC MODEL
Uttarakhand,Champawat,2018-09-17,2018,9,0.059374897,NRSC VIC MODEL
Uttarakhand,Champawat,2018-09-26,2018,9,0.0,NRSC VIC MODEL
Uttarakhand,Champawat,2018-09-29,2018,9,0.0,NRSC VIC MODEL
Uttarakhand,Champawat,2018-10-05,2018,10,0.0,NRSC VIC MODEL
Uttarakhand,Champawat,2018-10-11,2018,10,4.226381293,NRSC VIC MODEL
Uttarakhand,Champawat,2018-10-13,2018,10,0.0,NRSC VIC MODEL
Uttarakhand,Champawat,2018-10-24,2018,10,0.0,NRSC VIC MODEL
Uttarakhand,Champawat,2018-10-25,2018,10,0.0,NRSC VIC MODEL
Uttarakhand,Champawat,2018-10-23,2018,10,0.0,NRSC VIC MODEL
Uttarakhand,Champawat,2018-11-05,2018,11,0.0,NRSC VIC MODEL
Uttarakhand,Champawat,2018-11-03,2018,11,0.429143487,NRSC VIC MODEL
Uttarakhand,Champawat,2018-11-12,2018,11,0.0,NRSC VIC MODEL
Uttarakhand,Champawat,2018-11-29,2018,11,0.0,NRSC VIC MODEL
Uttarakhand,Champawat,2018-12-01,2018,12,0.0,NRSC VIC MODEL
Uttarakhand,Champawat,2018-12-07,2018,12,0.0,NRSC VIC MODEL
Uttarakhand,Champawat,2018-12-08,2018,12,0.0,NRSC VIC MODEL
Uttarakhand,Champawat,2018-12-11,2018,12,0.0,NRSC VIC MODEL
Uttarakhand,Champawat,2018-12-14,2018,12,0.0,NRSC VIC MODEL
Uttarakhand,Champawat,2018-12-15,2018,12,0.0,NRSC VIC MODEL
Uttarakhand,Champawat,2018-12-26,2018,12,0.0,NRSC VIC MODEL
Uttarakhand,Champawat,2018-12-30,2018,12,0.0,NRSC VIC MODEL
